,,,beacon,x,y,,,,,,,
1523149548676,125,5562,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548676,0,5562,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549004,328,5890,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549004,0,5890,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549004,0,5890,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549051,47,5937,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549051,0,5937,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549113,62,5999,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549113,0,5999,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549238,125,6124,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549238,0,6124,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549238,0,6124,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549285,47,6171,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549285,0,6171,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549394,109,6280,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549394,0,6280,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549394,0,6280,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549488,94,6374,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549488,0,6374,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549581,93,6467,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549581,0,6467,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549581,0,6467,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549613,32,6499,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549613,0,6499,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549738,125,6624,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549738,0,6624,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549738,0,6624,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549753,15,6639,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549753,0,6639,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549769,16,6655,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549769,0,6655,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549769,0,6655,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549785,16,6671,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549785,0,6671,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549800,15,6686,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549800,0,6686,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549800,0,6686,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549816,16,6702,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549816,0,6702,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549816,0,6702,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549831,15,6717,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549831,0,6717,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549831,0,6717,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549847,16,6733,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549847,0,6733,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549863,16,6749,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549863,0,6749,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549925,62,6811,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549925,0,6811,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549925,0,6811,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149549941,16,6827,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149549941,0,6827,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550003,62,6889,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550003,0,6889,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550003,0,6889,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550019,16,6905,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550019,0,6905,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550081,62,6967,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550081,0,6967,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550097,16,6983,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550097,0,6983,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550097,0,6983,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550113,16,6999,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550113,0,6999,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550175,62,7061,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550175,0,7061,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550175,0,7061,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550191,16,7077,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550191,0,7077,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550222,31,7108,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550222,0,7108,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550238,16,7124,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550238,0,7124,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550238,0,7124,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550253,15,7139,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550253,0,7139,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550316,63,7202,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550316,0,7202,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550316,0,7202,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550331,15,7217,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550331,0,7217,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550394,63,7280,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550394,0,7280,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550410,16,7296,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550410,0,7296,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550410,0,7296,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550472,62,7358,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550472,0,7358,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550488,16,7374,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550488,0,7374,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550488,0,7374,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550550,62,7436,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550550,0,7436,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550566,16,7452,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550566,0,7452,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550628,62,7514,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550628,0,7514,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550628,0,7514,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550660,32,7546,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550660,0,7546,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550706,46,7592,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550706,0,7592,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550706,0,7592,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550722,16,7608,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550722,0,7608,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550785,63,7671,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550785,0,7671,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550785,0,7671,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550863,78,7749,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550863,0,7749,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550878,15,7764,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550878,0,7764,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550878,0,7764,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550894,16,7780,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550894,0,7780,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550894,0,7780,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550910,16,7796,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550910,0,7796,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550941,31,7827,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550941,0,7827,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550956,15,7842,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149550956,0,7842,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149550956,0,7842,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551019,63,7905,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551019,0,7905,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551034,15,7920,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551034,0,7920,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551034,0,7920,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551097,63,7983,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551097,0,7983,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551113,16,7999,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551113,0,7999,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551113,0,7999,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551175,62,8061,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551175,0,8061,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551191,16,8077,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551191,0,8077,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551191,0,8077,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551253,62,8139,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551253,0,8139,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551253,0,8139,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551269,16,8155,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551347,78,8233,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551347,0,8233,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551347,0,8233,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551362,15,8248,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551362,0,8248,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551425,63,8311,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551425,0,8311,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149551425,0,8311,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551425,0,8311,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.541
1523149551503,78,8389,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.541
1523149551503,0,8389,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551518,15,8404,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551518,0,8404,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551518,0,8404,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551581,63,8467,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551581,0,8467,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551597,16,8483,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551597,0,8483,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551597,0,8483,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551659,62,8545,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551659,0,8545,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551675,16,8561,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551675,0,8561,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149551737,62,8623,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551737,0,8623,2,0.96,0.077,1.85,1,0.97,3,1.164,4,0.313
1523149551737,0,8623,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551753,16,8639,2,0.96,0.077,1.85,1,0.97,3,1.164,4,0.313
1523149551753,0,8639,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551847,94,8733,2,0.96,0.077,1.85,1,0.97,3,1.164,4,0.313
1523149551847,0,8733,5,0.714,-0.008,1.85,1,0.727,3,1.027,4,0.54
1523149551847,0,8733,2,0.96,0.077,1.85,1,0.97,3,1.164,4,0.313
1523149551878,31,8764,5,0.716,-0.002,1.85,1,0.727,3,1.027,4,0.54
1523149551878,0,8764,2,0.96,0.077,1.85,1,0.966,3,1.168,4,0.314
1523149551893,15,8779,5,0.716,-0.002,1.85,1,0.727,3,1.027,4,0.54
1523149551893,0,8779,2,0.96,0.077,1.85,1,0.966,3,1.168,4,0.314
1523149551909,16,8795,5,0.716,-0.002,1.85,1,0.724,3,1.027,4,0.54
1523149551909,0,8795,2,0.96,0.077,1.85,1,0.966,3,1.168,4,0.314
1523149551909,0,8795,5,0.716,-0.002,1.85,1,0.724,3,1.027,4,0.54
1523149552003,94,8889,2,0.96,0.077,1.85,1,0.966,3,1.168,4,0.314
1523149552003,0,8889,5,0.716,-0.002,1.85,1,0.724,3,1.027,4,0.54
1523149552003,0,8889,2,0.96,0.077,1.85,1,0.966,3,1.168,4,0.314
1523149552003,0,8889,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552034,31,8920,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552034,0,8920,2,0.957,0.065,1.85,1,0.966,3,1.168,4,0.314
1523149552034,0,8920,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552050,16,8936,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552050,0,8936,2,0.957,0.065,1.85,1,0.966,3,1.168,4,0.314
1523149552050,0,8936,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552065,15,8951,2,0.957,0.065,1.85,1,0.966,3,1.168,4,0.314
1523149552065,0,8951,5,0.716,-0.002,1.85,1,0.724,3,1.02,4,0.591
1523149552065,0,8951,2,0.957,0.065,1.85,1,0.966,3,1.168,4,0.314
1523149552175,110,9061,5,0.691,0.004,1.85,1,0.724,3,1.02,4,0.591
1523149552175,0,9061,2,0.957,0.065,1.85,1,0.966,3,1.168,4,0.314
1523149552175,0,9061,5,0.691,0.004,1.85,1,0.724,3,1.02,4,0.591
1523149552190,15,9076,2,0.957,0.065,1.85,1,0.966,3,1.167,4,0.313
1523149552190,0,9076,5,0.691,0.004,1.85,1,0.724,3,1.02,4,0.591
1523149552206,16,9092,2,0.957,0.065,1.85,1,0.966,3,1.167,4,0.313
1523149552206,0,9092,5,0.691,0.004,1.85,1,0.724,3,1.02,4,0.591
1523149552206,0,9092,2,0.957,0.065,1.85,1,0.966,3,1.167,4,0.313
1523149552300,94,9186,5,0.691,0.004,1.85,1,0.724,3,1.02,4,0.591
1523149552300,0,9186,2,0.957,0.065,1.85,1,0.966,3,1.167,4,0.313
1523149552331,31,9217,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552331,0,9217,2,0.957,0.067,1.85,1,0.966,3,1.167,4,0.313
1523149552331,0,9217,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552362,31,9248,2,0.957,0.067,1.85,1,0.966,3,1.167,4,0.313
1523149552362,0,9248,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552378,16,9264,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.313
1523149552378,0,9264,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552378,0,9264,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.313
1523149552440,62,9326,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552440,0,9326,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.313
1523149552456,16,9342,5,0.691,0.004,1.85,1,0.725,3,1.03,4,0.573
1523149552456,0,9342,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.312
1523149552518,62,9404,5,0.699,-0.007,1.85,1,0.725,3,1.03,4,0.573
1523149552518,0,9404,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.312
1523149552518,0,9404,5,0.699,-0.007,1.85,1,0.725,3,1.03,4,0.573
1523149552518,0,9404,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.573
1523149552597,79,9483,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.312
1523149552597,0,9483,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.573
1523149552597,0,9483,2,0.957,0.067,1.85,1,0.97,3,1.167,4,0.312
1523149552628,31,9514,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.592
1523149552628,0,9514,2,0.96,0.072,1.85,1,0.97,3,1.167,4,0.312
1523149552675,47,9561,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.592
1523149552675,0,9561,2,0.96,0.072,1.85,1,0.97,3,1.167,4,0.312
1523149552675,0,9561,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.592
1523149552675,0,9561,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.312
1523149552753,78,9639,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.312
1523149552753,0,9639,5,0.699,-0.007,1.85,1,0.722,3,1.026,4,0.592
1523149552784,31,9670,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.314
1523149552784,0,9670,5,0.688,-0.006,1.85,1,0.722,3,1.026,4,0.592
1523149552784,0,9670,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.314
1523149552831,47,9717,5,0.688,-0.006,1.85,1,0.722,3,1.026,4,0.592
1523149552831,0,9717,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.314
1523149552847,16,9733,5,0.688,-0.006,1.85,1,0.723,3,1.03,4,0.592
1523149552847,0,9733,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.314
1523149552909,62,9795,5,0.688,-0.006,1.85,1,0.723,3,1.03,4,0.592
1523149552909,0,9795,2,0.96,0.072,1.85,1,0.967,3,1.166,4,0.314
1523149552909,0,9795,5,0.688,-0.006,1.85,1,0.723,3,1.03,4,0.592
1523149552925,16,9811,2,0.957,0.07,1.85,1,0.967,3,1.166,4,0.314
1523149552925,0,9811,5,0.688,-0.006,1.85,1,0.723,3,1.03,4,0.536
1523149552987,62,9873,2,0.957,0.07,1.85,1,0.967,3,1.166,4,0.314
1523149552987,0,9873,5,0.688,-0.006,1.85,1,0.723,3,1.03,4,0.536
